UID          PID    PPID  C STIME TTY          TIME CMD
avahi        535       1  0 18:12 ?        00:00:00 avahi-daemon: running [mcelo-Standard-PC-Q35-ICH9-2009.local]
root         536       1  0 18:12 ?        00:00:00 /usr/sbin/cron -f -P
message+     538       1  0 18:12 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         540       1  0 18:12 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         545       1  0 18:12 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         548       1  0 18:12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         550       1  0 18:12 ?        00:00:00 /usr/libexec/polkitd --no-debug
root         553       1  0 18:12 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       556       1  0 18:12 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         564       1  0 18:12 ?        00:00:02 /usr/lib/snapd/snapd
root         569       1  0 18:12 ?        00:00:00 /usr/libexec/switcheroo-control
root         570       1  0 18:12 ?        00:00:00 /lib/systemd/systemd-logind
root         572       1  0 18:12 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         573       1  0 18:12 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        575     535  0 18:12 ?        00:00:00 avahi-daemon: chroot helper
root         616       1  0 18:12 ?        00:00:00 /usr/sbin/ModemManager
root         626       1  0 18:12 ?        00:00:00 /usr/sbin/cupsd -l
root         630       1  0 18:12 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         652       1  0 18:12 ?        00:00:00 /usr/sbin/gdm3
lp           656     626  0 18:12 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         724       1  0 18:12 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     729       1  0 18:12 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     733       1  0 18:12 ?        00:00:00 /usr/sbin/kerneloops
root         773     652  0 18:12 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
mcelo        778       1  0 18:12 ?        00:00:00 /lib/systemd/systemd --user
mcelo        779     778  0 18:12 ?        00:00:00 (sd-pam)
mcelo        785     778  0 18:12 ?        00:00:00 /usr/bin/pipewire
mcelo        786     778  0 18:12 ?        00:00:00 /usr/bin/pipewire-media-session
mcelo        787     778  0 18:12 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
rtkit        801       1  0 18:12 ?        00:00:00 /usr/libexec/rtkit-daemon
mcelo        805       1  0 18:12 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
mcelo        818     778  0 18:12 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
mcelo        820     773  0 18:12 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
mcelo        826     820  0 18:12 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
mcelo        827     778  0 18:12 ?        00:00:00 /usr/libexec/gvfsd
mcelo        828     778  0 18:12 ?        00:00:00 /usr/libexec/xdg-document-portal
mcelo        842     778  0 18:12 ?        00:00:00 /usr/libexec/xdg-permission-store
root         850     828  0 18:12 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
mcelo        863     778  0 18:12 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
mcelo        904     778  0 18:12 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
mcelo        915     778  0 18:12 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
mcelo        929     915  0 18:12 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
mcelo        933     778  7 18:12 ?        00:01:06 /usr/bin/gnome-shell
mcelo        941     929  0 18:12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
mcelo       1015     778  0 18:12 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
mcelo       1021     778  0 18:12 ?        00:00:00 /usr/libexec/evolution-source-registry
root        1025       1  0 18:12 ?        00:00:00 /usr/libexec/upowerd
mcelo       1032     778  0 18:12 ?        00:00:00 /usr/libexec/goa-daemon
mcelo       1035     778  0 18:12 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
mcelo       1041     778  0 18:12 ?        00:00:00 /usr/libexec/evolution-calendar-factory
mcelo       1047     778  0 18:12 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
mcelo       1058     778  0 18:12 ?        00:00:00 /usr/libexec/goa-identity-service
mcelo       1060     778  0 18:12 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
mcelo       1068     778  0 18:12 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
mcelo       1076     778  0 18:12 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
mcelo       1079     778  0 18:12 ?        00:00:00 /usr/libexec/dconf-service
mcelo       1087     778  0 18:12 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1096       1  1 18:12 ?        00:00:09 /usr/libexec/packagekitd
mcelo       1106     827  0 18:12 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
mcelo       1117     778  0 18:12 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
mcelo       1118     778  0 18:12 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
mcelo       1126     778  0 18:12 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
mcelo       1127     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-a11y-settings
mcelo       1133     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-color
mcelo       1135    1126  0 18:12 ?        00:00:02 /usr/bin/ibus-daemon --panel disable
mcelo       1136     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-datetime
mcelo       1139     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-housekeeping
mcelo       1141     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-keyboard
mcelo       1143     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-media-keys
mcelo       1145     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-power
mcelo       1146     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-print-notifications
mcelo       1149     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-rfkill
mcelo       1152     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
mcelo       1153     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-sharing
mcelo       1155     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-smartcard
mcelo       1156     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-sound
mcelo       1157     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-wacom
mcelo       1192     778  0 18:12 ?        00:00:00 /usr/bin/spice-vdagent
mcelo       1219     933  0 18:12 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.4WET71 -listen 4 -listen 5 -displayfd 6 -initfd 7
mcelo       1221    1135  0 18:12 ?        00:00:00 /usr/libexec/ibus-dconf
mcelo       1222    1135  0 18:12 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
mcelo       1225     778  0 18:12 ?        00:00:00 /usr/libexec/ibus-portal
mcelo       1238     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-printer
mcelo       1249    1135  0 18:12 ?        00:00:00 /usr/libexec/ibus-engine-simple
mcelo       1266     778  0 18:12 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
mcelo       1267     778  0 18:12 ?        00:00:00 /usr/libexec/gsd-xsettings
mcelo       1341    1266  0 18:12 ?        00:00:00 /snap/snapd-desktop-integration/49/usr/bin/snapd-desktop-integration
mcelo       1345     778  0 18:12 ?        00:00:00 /usr/libexec/xdg-desktop-portal
mcelo       1351     778  0 18:12 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
mcelo       1373     778  0 18:12 ?        00:00:00 /usr/libexec/ibus-x11
colord      1380       1  0 18:12 ?        00:00:00 /usr/libexec/colord
mcelo       1383     778  0 18:12 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
mcelo       1402     778  0 18:12 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
root        1419       1  0 18:12 ?        00:00:02 /usr/sbin/spice-vdagentd
mcelo       1433     915  0 18:12 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
mcelo       1446     915  0 18:12 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
mcelo       1492     778  0 18:12 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
mcelo       1538     778  0 18:12 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        1578       2  0 18:13 ?        00:00:01 [kworker/1:3-events]
mcelo       1581     933  1 18:13 ?        00:00:09 /snap/snap-store/638/usr/bin/snap-store
root        1793       1  0 18:13 ?        00:00:02 /usr/libexec/fwupd/fwupd
root        1828       1  0 18:13 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
mcelo       2910     778  0 18:13 ?        00:00:04 /usr/libexec/gnome-terminal-server
mcelo       2928    2910  0 18:13 pts/0    00:00:00 bash
mcelo       2940     915  0 18:13 ?        00:00:00 update-notifier
mcelo       3720     933  0 18:21 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1440:837:1:27:0:0:0:0
root        3791       2  0 18:23 ?        00:00:00 [kworker/1:0-events]
root        4342       2  0 18:27 ?        00:00:00 [kworker/3:0-events]
mcelo       4351    2928  0 18:27 pts/0    00:00:00 ps -ef
